Category,Sub-Category,Sub-Sub-Category,Product Name,Brand,Supplier Name,Product Short Description,Product Long Description,Size,Colour,Image URL,Unit of Measure,Stock Status,Unit Price,Pack Size,Minimum THC Content (%),Maximum THC Content (%),THC Content Per Unit,THC Content Per Volume,Minimum CBD Content (%),Maximum CBD Content (%),CBD Content Per Unit,CBD Content Per Volume,Dried Flower Cannabis Equivalency,Plant Type,Terpenes,GrowingMethod,Number of Items in a Retail Pack,GTIN,OCS Item Number,OCS Variant Number,Physical Dimension Width,Physical Dimension Height,Physical Dimension Depth,Physical Dimension Volume,Physical Dimension Weight,Eaches Per Inner Pack,Eaches Per Master Case,Inventory Status,Storage Criteria,Food Allergens,Ingredients,Street Name,Grow Medium,Grow Method,Grow Region,Drying Method,Trimming Method,Extraction Process,Carrier Oil,Heating Element Type,Battery Type,Rechargeable Battery,Removable Battery,Replacement Parts Available,Temperature Control,Temperature Display,Compatibility,THC Min,THC Max,CBD Min,CBD Max,Net Weight,Craft
Vapes,510 Thread Cartridges,,Pineapple Express 510 Thread Cartridge,Good Supply,APHRIA INC.,"A 0.5 g Pineapple Express 510 thread cartridge from Good Supply filled with a smooth, tropical distillate.","The distillate in this 0.5 g cartridge from Good Supply comes from a hybrid extract. 

This product’s smooth, tropical flavour comes from a terpene profile that contains limonene, which is also found in citrus fruits and juniper; myrcene, present in mangoes, lemon grass, hops and thyme; humulene, which it shares with hops and coriander; and linalool, found in lavender and many flowers, mint and cinnamon.

This cartridge should be stored upright in a dark, room-temperature environment. This cartridge requires a 510 thread vape battery for use.

Good Supply produced by Aphria, from Leamington, Ont., which grows all of its cannabis in state-of-the-art greenhouses and controls quality with a 509-step process.

",1g,,https://cdn.ocs.ca/img/300024/00694144009533_03_compress_300024.jpg,EA,YES,24.52,12,78,84,0,0,0,0.3,0,0,4,Hybrid,,-,0,00694144009533,300024,300024_1g___,0,0,0,,0,,12,,,,"THC Distillate, flavouring agents",Pineapple Express,-,-,-,-,-,Ethanol,-,,,,,,,,,780.000000,840.000000  mg/g,0.000000,3.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,Balance Lemonlicious 510 Thread Cartridge,Solei,APHRIA INC.,"Balance Cartridges have a bright, citrus flavour with notes of lemon and grapefruit, and virtually no cannabis after-taste or smell.","Find your Moment with Solei Balance. Balance Cartridges have a bright, citrus flavour with notes of lemon and grapefruit, and virtually no cannabis after-taste or smell. The 1:1 THC and CBD content make it an approachable choice.  Solei Balance Cartridges are made with only high-quality, plant-based materials. Distillate cannabis oil extracted from Solei’s sun-grown cannabis is paired with natural plant-derived terpenes to deliver a smooth, pleasant taste, with no additional ingredients.",0.5g,,https://cdn.ocs.ca/img/300025/00694144003630_00_compress_300025.jpg,EA,YES,19.88,12,35,42,0,0,35,41,0,0,2,Hybrid,,-,0,00694144003630,300025,300025_0.5g___,0,0,0,,0,,12,,,,THC & CBD Cannabis extract,-,-,-,-,Hang Dry,Hand Trimmed,Ethanol,-,,,,,,,,,350.000000,420.000000  mg/g,350.000000,410.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,Blackberry Cream Indica 510 Thread Cartridge,Foray,Auxly Charlottetown Inc.,Foray Blackberry Cream Indica Vape Cartridges contain 400 mg of THC and 4 mg of CBD. Our cartridges only contain cannabis distillate and botanical terpenes.,"Kolab Project Blackberry Cream Indica 0.5 g vape cartridges are made with premium cannabis distillate, with 425 mg of THC and 0 mg of CBD per pen. The flavour profile is influenced by the Blackberry Cream strain and Beta-Caryophyllene is the dominant terpene. Kolab Project cannabis extracts are tested rigorously to ensure a high-quality experience. Our vapes only contain two ingredients: cannabis distillate and botanical terpenes.
",0.5g,,https://cdn.ocs.ca/img/300034/00826061200018_00_compress_300034.jpg,EA,YES,17.89,12,80,85,0,0,0.5,1.1,0,0,2,Indica Dominant,,-,0,00826061200018,300034,300034_0.5g___,0,0,0,,0,,12,,,,,-,-,-,-,-,-,CO2,-,,,,,,,,,800.000000,850.000000  mg/g,5.000000,11.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,Mango Haze Balanced 510 Thread Cartridge,Foray,Auxly Charlottetown Inc.,Foray Mango Haze Balanced Vape Cartridges contain 200 mg of THC and 200 mg of CBD. Our cartridges only contain cannabis distillate and botanical terpenes.,"Foray’s Balanced Vape Cartridge has an initial fruity, tropical flavour with a subtle earthy undertone and persistent hits of orange citrus notes. This premium distillate is in a no-leak cartridge system and is calibrated to work best with Foray's 510 Thread Battery.",0.5g,,https://cdn.ocs.ca/img/300036/00826061200049_00_compress_300036.jpg,EA,YES,17.89,12,37,43,0,0,37,43,0,0,2,Hybrid,,-,0,00826061200049,300036,300036_0.5g___,0,0,0,,0,,12,,,,,-,-,-,-,-,-,-,-,,,,,,,,,370.000000,430.000000  mg/g,370.000000,430.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,Blackberry Cream Indica 510 Thread Cartridge,Kolab Project,Auxly Charlottetown Inc.,Kolab Project Blackberry Cream Indica 0.5 g vape cartridges contain 425 mg of THC and 4.25 mg of CBD.,The flavour profile is influenced by the Blackberry Cream strain and Beta-Caryophyllene is the dominant terpene. Kolab Project cannabis extracts are tested rigorously to ensure a high-quality experience. Our vapes only contain two ingredients: cannabis distillate and botanical terpenes.,0.5g,,https://cdn.ocs.ca/img/300037/00826061200094_00_compressed_300037.JPG,EA,NO,20.54,12,80,86,0,0,0.4,1.15,0,0,2,Indica Dominant,,-,0,00826061200094,300037,300037_0.5g___,0,0,0,,0,,12,,,,,-,-,-,-,-,-,-,-,,,,,,,,,800.000000,860.000000  mg/g,4.000000,11.500000  mg/g,,NO
Vapes,510 Thread Cartridges,,Strawberry Ice Sativa 510 Thread Cartridge,Kolab Project,Auxly Charlottetown Inc.,Kolab Project Strawberry Ice Sativa 0.5 g vape cartridges contain 425 mg of THC and 4.25 mg of CBD,The flavour profile is influenced by the Strawberry Ice strain and Myrcene is the dominant terpene. Kolab Project cannabis extracts are tested rigorously to ensure a high-quality experience. These vapes only contain two ingredients: cannabis distillate and botanical terpenes.,0.5g,,https://cdn.ocs.ca/img/300038/00826061200100_00_compress_300038.jpg,EA,YES,20.54,12,83,88,0,0,0,0.5,0,0,2,Sativa Dominant,,Indoor,0,00826061200100,300038,300038_0.5g___,0,0,0,,0,,12,,,,,-,-,Indoor,-,-,-,CO2,-,,,,,,,,,830.000000,880.000000  mg/g,0.000000,5.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,Trainwreck Redee 510 Thread Cartridge,Redecan,9037136 Canada Inc d.b.a Redecan Pharm,A 510 thread cartridge with a 0.45 g earthy sativa-dominant distillate from Redecan,"Redecan Trainwreck vape cartridges contain a total of 0.45 g of distillate, extracted using state-of-the-art CO2 technology then combined with terpenes. Compatible with 510 batteries; all devices are composed of a proprietary ceramic wick and a borosilicate glass housing. Trainwreck has a sativa-dominant profile, with earthy, piney, pungent characteristics, with high floral notes. Humulene (hop), alpha-pinene (pines, conifers), beta-caryophyllene (black pepper, cloves), myrcene (mangos, lemon grass). Ensure the metal connection between the cartridge and the battery are in contact with one another for proper function, slightly lifting the metal ring on the underside of the cartridge can ensure proper connection. Devices can be unclogged by carefully inserting a toothpick into the mouthpiece, repeating 2-3 times until unblocked. Packaged in 100% recyclable, 85% post-consumer weight paper, soy ink, starch-based adhesive, polypropylene-based plastic.",0.45g,,https://cdn.ocs.ca/img/300081/00628242245258_00_compress_300081.jpg,EA,NO,18.55,24,77,88,0,0,0,0.5,0,0,1.8,Sativa Dominant,"Alpha-Pinene,Beta-Caryophyllene,Humulene,Myrcene,Myrcene",Greenhouse,0,00628242245258,300081,300081_0.45g___,0,0,0,,0,,24,,,,"Cannabis extract, terpenes",Trainwreck,Soil Substitute,Greenhouse,-,-,-,Ethanol,-,,,,,,,,,770.000000,880.000000  mg/g,0.000000,5.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,Trainwreck Redee 510 Thread Vape Kit,Redecan,9037136 Canada Inc d.b.a Redecan Pharm,"This vape kit from Redecan includes a battery, a charger and one 0.45 g 510 thread cartridge.","Redecan Trainwreck vape cartridges contain a total of 0.45 g of distillate, extracted using state-of-the-art CO2 technology then combined with terpenes. This kit comes with a battery; all devices are composed of a proprietary ceramic wick and a borosilicate glass housing. Trainwreck has a sativa-dominant profile, with earthy, piney, pungent characteristics, with high floral notes. Humulene (Hop), alpha-Pinene (pines, conifers), beta-caryophyllene (black pepper, cloves), myrcene (mangos, lemon grass). Ensure the metal connection between the cartridge and the battery are in contact with one another for proper function, slightly lifting the metal ring on the underside of the cartridge can ensure proper connection. Devices can be unclogged by carefully inserting a toothpick into the mouthpiece, repeating 2-3 times until unblocked. Packaged in 100% recyclable, 85% post-consumer weight paper, soy ink, starch-based adhesive, polypropylene based plastic, compostable inserts.",0.45g,,https://cdn.ocs.ca/img/300082/00628242245159_a7c0_compressed_300082.jpg,EA,NO,27.84,12,80,86,0,0,0,0.5,0,0,1.8,Sativa Dominant,"Alpha-Pinene,Beta-Caryophyllene,Humulene,Myrcene,Myrcene",Greenhouse,0,00628242245159,300082,300082_0.45g___,0,0,0,,0,,12,,,,"Cannabis extract, terpenes",Trainwreck,Soil Substitute,Greenhouse,-,-,-,Ethanol,-,,,,,,,,,800.000000,860.000000  mg/g,0.000000,5.000000  mg/g,,NO
Vapes,Disposable Pens,,THC Distillate Disposable Pen,CANACA,APHRIA INC.,"The Canaca THC Distillate Vape Pen is a breath-activated, all-in-one vape that delivers approximately 100–200 pulls.","The Canaca THC Distillate Vape Pen is a breath-activated, all-in-one vape that delivers approximately 100–200 pulls of vaporized THC cannabis distillate with no added ingredients or flavours. Ready for use, just inhale to activate. No additional charging or battery required.",0.5g,,https://cdn.ocs.ca/img/300107/00826966011566_00_compress_300107.jpg,EA,YES,23.2,12,80,92,0,0,1.5,2,0,0,2,Hybrid,,Greenhouse,0,00826966011566,300107,300107_0.5g___,0,0,0,,0,,12,,,,THC distillate only.,-,Cocoa Fibre,Greenhouse,-,-,-,Ethanol,-,,,,,,,,,800.000000,920.000000  mg/g,15.000000,20.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,THC Distillate 510 Thread Cartridge,CANACA,APHRIA INC.,This 0.5 g 510 thread vape cartridge (cart) from Canaca contains no added ingredients or flavours. Requires a 510 thread power supply (battery).,The Canaca THC Distillate Vape Cart is a 510 thread vape cartridge containing THC cannabis distillate with no added ingredients or flavours. This cartridge requires a 510 thread vape battery for use.,0.5g,,https://cdn.ocs.ca/img/300110/00826966012327_00_compress_300110.jpg,EA,NO,23.2,12,82,88,0,0,0,1,0,0,2,Hybrid,,Greenhouse,0,00826966011573,300110,300110_0.5g___,0,0,0,,0,,12,,,,THC distillate only.,-,Cocoa Fibre,Greenhouse,London,Hang Dry,Hand Trimmed,Ethanol,-,,,,,,,,,820.000000,880.000000  mg/g,0.000000,10.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,Northern Lights 510 Thread Cartridge,Wayfarer,MEDIPHARM LABS INC.,"Wayfarer’s Northern Lights 510 cartridge delivers a taste that highlights the characteristics of their cannabis oil, with notes of lemon and pepper.","Wayfarer’s Northern Lights 510 cartridge is designed deliver a taste that highlights the characteristics of their cannabis oil, with notes of lemon and pepper. Designed for the consumer with uncompromising taste, the Wayfarer vape cartridge delivers a sleek design and an unflinching commitment to quality.",0.47g,,https://cdn.ocs.ca/img/300122/00628639000224_00_compress_300122.jpg,EA,YES,13.24,12,75,90,0,0,0,2,0,0,1.88,Indica Dominant,"Terpinolene,Delta-Limonene,Beta-Caryophyllene,Myrcene,Myrcene",Indoor,0,00628639000224,300122,300122_0.47g___,0,0,0,,0,,12,,,,"Cannabis extract, flavouring agents.",Northen Lights,-,Indoor,Toronto,Hang Dry,Hand Trimmed,CO2,-,,,,,,,,,750.000000,900.000000  mg/g,0.000000,20.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,OG Kush Redee 510 Thread Cartridge,Redecan,9037136 Canada Inc d.b.a Redecan Pharm,"Redecan OG Kush vape cartridges contain a total of 0.45 g of distillate, extracted using state-of-the-art CO2 technology then combined with terpenes.","Redecan OG Kush vape cartridges contain a total of 0.45 g of distillate, extracted using state-of-the-art CO2 technology then combined with terpenes. Compatible with 510 batteries; all devices are composed of a proprietary ceramic wick and a borosilicate glass housing. OG Kush is a hybrid; with earth, pine, woody notes. Limonene (citrus), myrcene (mangoes, lemon grass), beta-caryophyllene (black pepper, cloves), linalool (lavender), beta-pinene (allspice).  Ensure the metal connection between the cartridge and the battery are in contact with one another for proper function, slightly lifting the metal ring on the underside of the cartridge can ensure proper connection. Devices can be unclogged by carefully inserting a toothpick into the mouthpiece, repeating 2-3 times until unblocked. Packaged in 100% recyclable, 85% post-consumer weight paper, soy ink, starch-based adhesive, polypropylene based plastic. Additional information can be found on www.redecan.ca.",0.45g,,https://cdn.ocs.ca/img/300126/00628242245753_00_compressed_300126.jpg,EA,NO,18.55,24,67,85.5,0,0,0,0.3,0,0,1.8,Hybrid,"Limonene,Myrcene,Beta-Caryophyllene,Beta-Pinene,Beta-Pinene",Greenhouse,0,00628242245753,300126,300126_0.45g___,0,0,0,,0,,24,,,,"Cannnabis extract, terpenes",OG Kush,Soil Substitute,Greenhouse,-,-,-,CO2,-,,,,,,,,,670.000000,855.000000  mg/g,0.000000,3.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,OG Kush Redee 510 Thread Vape Kit,Redecan,9037136 Canada Inc d.b.a Redecan Pharm,"Redecan OG Kush vape cartridges contain a total of 0.45 g of distillate, extracted using state-of-the-art CO2 technology then combined with terpenes.","Redecan OG Kush vape cartridges contain a total of 0.45 g of distillate, extracted using state-of-the-art CO2 technology then combined with terpenes. This kit comes with a battery; all devices are composed of a proprietary ceramic wick and a borosilicate glass housing. OG Kush is a hybrid; with earth, pine, woody notes. Limonene (citrus), myrcene (mangos, lemon grass), beta-caryophyllene (black pepper, cloves), linalool (lavender), beta-pinene (allspice).  Ensure the metal connection between the cartridge and the battery are in contact with one another for proper function, slightly lifting the metal ring on the underside of the cartridge can ensure proper connection. Devices can be unclogged by carefully inserting a toothpick into the mouthpiece, repeating 2-3 times until unblocked. Packaged in 100% recyclable, 85% post-consumer weight paper, soy ink, starch-based adhesive, polypropylene based plastic, compostable inserts. Additional information can be found on www.redecan.ca.",0.45g,,https://cdn.ocs.ca/img/300127/00628242245852_a7c0_compressed_300127.jpg,EA,NO,27.84,12,67,85.5,0,0,0.2,0.3,0,0,1.8,Hybrid,"Limonene,Myrcene,Beta-Caryophyllene,Beta-Pinene,Beta-Pinene",Greenhouse,0,00628242245852,300127,300127_0.45g___,0,0,0,,0,,12,,,,"Cannnabis extract, terpenes",OG Kush,Soil Substitute,Greenhouse,-,-,-,CO2,-,,,,,,,,,770.000000,830.000000  mg/g,2.000000,3.000000  mg/g,,NO
