Order Qty (cases),List Type,SKU/MBLL Item Number,UPC/GTIN,Supplier,Brand,Type,Sub-Type,Description1,THC range,CBD range,Unit Vol/Size,Unit of Measure,Unit Price,Units Per Case,Case Price,Product Notifications
,CANNABIS AVAILABLE,30627,688083002731,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,PRE-ROLLED,BALANCED PR1X1G,30 - 130 mg/g,30 - 130 mg/g,1,g,4.69,48,225.12, 
,CANNABIS AVAILABLE,30628,688083002465,CANOPY GROWTH CORPORATION,TWD,EXTRACTS INGESTED,INFUSED EDIBLE SPRAYS,BALANCED SPRAY,200 - 200 mg/unit,200 - 200 mg/unit,20,ml,24.64,24,591.36, 
,CANNABIS AVAILABLE,30632,688083002649,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,INFUSED EDIBLE SPRAYS,BAKERSTREET SPRAY,500 - 500 mg/unit,.001 - 1 mg/unit,20,ml,31.98,24,767.52, 
,CANNABIS AVAILABLE,30634,688083002632,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,INFUSED EDIBLE SPRAYS,PENELOPE SPRAY,500 - 500 mg/unit,300 - 500 mg/unit,20,ml,31.98,24,767.52, 
,CANNABIS AVAILABLE,30792,628250744460,AGMEDICA BIOSCIENCE INC,VERTICAL CANNABIS,DRIED FLOWER,PRE-ROLLED,COLD CREEK KUSH PR5X0.5G,200 - 260 mg/g,10 - 10 mg/g,2.5,g,17.00,24,408, 
,CANNABIS AVAILABLE,31181,685960001726,NATURAL MEDCO LTD,EVE & CO.,DRIED FLOWER,PRE-ROLLED,THE DREAMER PR5X0.5G,140 - 230 mg/g,.001 - 10 mg/g,2.5,g,15.94,24,382.56, 
,CANNABIS AVAILABLE,31189,685960001641,NATURAL MEDCO LTD,EVE & CO.,DRIED FLOWER,PRE-ROLLED,THE LOVER PR5X0.5G,170 - 250 mg/g,.001 - 10 mg/g,2.5,g,15.94,24,382.56, 
,CANNABIS AVAILABLE,31509,826966011467,APHRIA INC,THE BATCH,DRIED FLOWER,PRE-ROLLED,THE BATCH QUINTS PR5X0.5G,150 - 190 mg/g,.0004 - 10 mg/g,2.5,g,12.51,48,600.48, 
,CANNABIS AVAILABLE,31554,688083000133,CANOPY GROWTH CORPORATION,DNA GENETICS,DRIED FLOWER,WHOLE BUD/FLOWER,KOSHER KUSH,170 - 270 mg/g,.0003 - 2.8571 mg/g,3.5,g,29.40,12,352.8, 
,CANNABIS AVAILABLE,31578,841432010003,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,SPINACH DIESEL,180 - 260 mg/g,3.5143 - 10 mg/g,3.5,g,22.38,24,537.12, 
,CANNABIS AVAILABLE,31580,841432010089,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,SPINACH WHITE WIDOW,180 - 260 mg/g,3.5143 - 10 mg/g,3.5,g,22.38,24,537.12, 
,CANNABIS AVAILABLE,31581,841432010065,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,SPINACH ROCKSTAR KUSH,180 - 260 mg/g,3.5143 - 10 mg/g,3.5,g,22.38,24,537.12, 
,CANNABIS AVAILABLE,31587,841432010072,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,SPINACH ROCKSTAR KUSH,180 - 260 mg/g,3.5 - 10 mg/g,7,g,40.92,12,491.04, 
,CANNABIS AVAILABLE,31597,841432012076,PEACE NATURALS INC,SPINACH,DRIED FLOWER,PRE-ROLLED,SPINACH DIESEL PR1X1G,160 - 240 mg/g,3.5 - 10 mg/g,1,g,5.88,24,141.12, 
,CANNABIS AVAILABLE,31600,841432012038,PEACE NATURALS INC,SPINACH,DRIED FLOWER,PRE-ROLLED,SPINACH ROCKSTAR KUSH PR1X1G,160 - 240 mg/g,3.5 - 10 mg/g,1,g,5.88,24,141.12, 
,CANNABIS AVAILABLE,31601,841432012007,PEACE NATURALS INC,SPINACH,DRIED FLOWER,PRE-ROLLED,SPINACH DIESEL PR3X0.5G,160 - 210 mg/g,.1 - 10 mg/g,1.5,g,7.46,24,179.04, 
,CANNABIS CBD AVAILABLE,31630,688083001376,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,TWEED CBD 15X0.158ML,.001 - 1 mg/unit,300 - 300 mg/unit,2.37,ml,19.66,24,471.84, 
,CANNABIS AVAILABLE,31679,627965099568,TERRASCEND CANADA,HAVEN ST. PREMIUM,DRIED FLOWER,PRE-ROLLED,NO. 407 SAPPHIRE DAZE PR5X0.5G,155 - 240 mg/g,.0004 - 10 mg/g,2.5,g,19.48,16,311.68, 
,CANNABIS CBD AVAILABLE,31726,688083001116,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,ARGYLE 15X0.158ML,37.5 - 37.5 mg/unit,30 - 60 mg/unit,2.37,ml,7.97,24,191.28, 
,CANNABIS AVAILABLE,31881,688083001680,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,PENELOPE 15X0.158ML,150 - 150 mg/unit,105 - 105 mg/unit,2.37,ml,22.26,24,534.24, 
,CANNABIS AVAILABLE,31910,688083001703,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,PENELOPE 15X0.158ML,37.5 - 37.5 mg/unit,26.25 - 26.25 mg/unit,2.37,ml,7.97,24,191.28, 
,CANNABIS AVAILABLE,31927,688083001192,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,BAKERSTREET 15X0.158ML,150 - 150 mg/unit,.001 - 1 mg/unit,2.37,ml,22.26,24,534.24, 
,CANNABIS AVAILABLE,32070,688083001574,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,HOUNDSTOOTH 15X0.158ML,37.5 - 37.5 mg/unit,.001 - 1 mg/unit,2.37,ml,7.97,24,191.28, 
,CANNABIS AVAILABLE,32221,628250744996,AGMEDICA BIOSCIENCE INC,VERTICAL CANNABIS,DRIED FLOWER,PRE-ROLLED,COLD CREEK KUSH PR1X1G,200 - 260 mg/g,.001 - .01 mg/g,1,g,8.11,24,194.64, 
,CANNABIS AVAILABLE,32289,688083002458,CANOPY GROWTH CORPORATION,QUATREAU,EDIBLES-BEVERAGES LIQUID,SPARKLING TONIC/WATER (LIQ),QUATREAU BEV,2 - 2 mg/unit,2 - 2 mg/unit,355,ml,2.73,12,32.76, 
,CANNABIS CBD AVAILABLE,32290,688083002496,CANOPY GROWTH CORPORATION,QUATREAU,EDIBLES-BEVERAGES LIQUID,SPARKLING TONIC/WATER (LIQ),QUATREAU BEV,.001 - 1 mg/unit,20 - 20 mg/unit,355,ml,2.72,12,32.64, 
,CANNABIS AVAILABLE,32291,688083002434,CANOPY GROWTH CORPORATION,QUATREAU,EDIBLES-BEVERAGES LIQUID,SPARKLING TONIC/WATER (LIQ),QUATREAU BEV,2 - 2 mg/unit,2 - 2 mg/unit,355,ml,2.73,12,32.76, 
,CANNABIS AVAILABLE,32296,688083002779,CANOPY GROWTH CORPORATION,DEEP SPACE,EDIBLES-BEVERAGES LIQUID,SODAS (LIQ),DEEP SPACE BEV,10 - 10 mg/unit,.001 - 1 mg/unit,222,ml,4.79,12,57.48, 
,CANNABIS AVAILABLE,32297,688083002748,CANOPY GROWTH CORPORATION,TWEED,EDIBLES-BEVERAGES LIQUID,COCKTAILS/COOLERS (LIQ),HOUNDSTOOTH AND SODA,2 - 2 mg/unit,.001 - 1 mg/unit,355,ml,2.41,12,28.92, 
,CANNABIS AVAILABLE,32314,685960001566,NATURAL MEDCO LTD,EVE & CO.,DRIED FLOWER,PRE-ROLLED,THE BOSS PR5X0.5G,140 - 220 mg/g,.25 - 24.8 mg/g,2.5,g,15.94,24,382.56, 
,CANNABIS AVAILABLE,32357,826966011740,APHRIA INC,CHOWIE WOWIE,EDIBLES-CANDY/CHOCOLATE/CONFEC,CHOCOLATE-MILK,MILK CHOCOLATE 1:0 THC,10 - 10 mg/unit,.001 - .001 mg/unit,16,g,2.92,12,35.04, 
,CANNABIS AVAILABLE,32358,826966011757,APHRIA INC,CHOWIE WOWIE,EDIBLES-CANDY/CHOCOLATE/CONFEC,CHOCOLATE-MILK,MILK CHOCOLATE 1:1 THC/CBD,10 - 10 mg/unit,10 - 10 mg/unit,16,g,2.92,12,35.04, 
,CANNABIS CBD AVAILABLE,32360,826966011764,APHRIA INC,CHOWIE WOWIE,EDIBLES-CANDY/CHOCOLATE/CONFEC,CHOCOLATE-DARK,DARK CHOCOLATE 0:1 CBD,.001 - .001 mg/unit,20 - 20 mg/unit,16,g,2.92,12,35.04, 
,CANNABIS AVAILABLE,32364,826966011726,APHRIA INC,CHOWIE WOWIE,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,THC WATERMELON 4X2.5G,10 - 10 mg/unit,.001 - .001 mg/unit,10,g,3.24,12,38.88, 
,CANNABIS AVAILABLE,32367,826966011733,APHRIA INC,CHOWIE WOWIE,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,THC/CBD MANGO PINEAPPLE 4X2.5G,10 - 10 mg/unit,10 - 10 mg/unit,10,g,3.24,12,38.88, 
,CANNABIS AVAILABLE,32374,685960001801,NATURAL MEDCO LTD,EVE & CO.,DRIED FLOWER,PRE-ROLLED,THE CONFIDANT PR5X0.5G,64 - 230 mg/g,.01 - 10 mg/g,2.5,g,15.94,24,382.56, 
,CANNABIS AVAILABLE,32389,826966011573,APHRIA INC,CANACA,VAPE,CARTRIDGE 510,CANACA THC DISTILLATE VAPE,400 - 475 mg/unit,.001 - 5 mg/unit,0.5,g,16.24,12,194.88, 
,CANNABIS AVAILABLE,32390,826966011566,APHRIA INC,CANACA,VAPE,SINGLE USE W/BATTERY,CANACA THC DISTILLATE VAPE PEN,400 - 475 mg/unit,.001 - 5 mg/unit,0.5,g,19.49,12,233.88, 
,CANNABIS AVAILABLE,32473,694144003630,APHRIA INC,SOLEI,VAPE,CARTRIDGE 510,BALANCE VAPE,161.5 - 218.5 mg/unit,161.5 - 218.5 mg/unit,0.5,g,15.60,12,187.2, 
,CANNABIS AVAILABLE,32477,694144003692,APHRIA INC,GOOD SUPPLY,VAPE,CARTRIDGE 510,PINEAPPLE EXPRESS VAPE,340 - 460 mg/unit,.001 - 4.99 mg/unit,0.5,g,15.60,12,187.2, 
,CANNABIS AVAILABLE,32478,694144003715,APHRIA INC,GOOD SUPPLY,VAPE,CARTRIDGE 510,BLUE DREAM VAPE,340 - 460 mg/unit,.001 - 4.99 mg/unit,0.5,g,15.60,12,187.2, 
,CANNABIS AVAILABLE,32524,675136000769,CANNA FARMS LTD,CANNA FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,BC BLUE WIDOW,200 - 250 mg/g,.0003 - 2 mg/g,3.5,g,26.30,12,315.6, 
,CANNABIS AVAILABLE,32533,675136000202,CANNA FARMS LTD,CANNA FARMS,DRIED FLOWER,PRE-ROLLED,BC GSC PRX1G,160 - 230 mg/g,.001 - 2 mg/g,1,g,8.45,50,422.5, 
,CANNABIS CBD AVAILABLE,32565,628639000194,MEDIPHARM LABS INC,ACE VALLEY,VAPE,SINGLE USE W/BATTERY,CBD VAPE,67.592 - 133 mg/unit,126.378 - 250 mg/unit,0.28,g,30.95,12,371.4, 
,CANNABIS AVAILABLE,32569,628639000200,MEDIPHARM LABS INC,ACE VALLEY,VAPE,SINGLE USE W/BATTERY,SATIVA VAPE,190.4 - 257.6 mg/unit,.001 - .47 mg/unit,0.28,g,31.97,12,383.64, 
,CANNABIS AVAILABLE,32617,826061200018,AUXLY CHARLOTTETOWN INC,FORAY,VAPE,CARTRIDGE 510,BLACKBERRY CREAM INDICA VAPE,400 - 400 mg/unit,4 - 4 mg/unit,0.5,ml,19.48,12,233.76, 
,CANNABIS AVAILABLE,32624,826061200049,AUXLY CHARLOTTETOWN INC,FORAY,VAPE,CARTRIDGE 510,MANGO HAZE BALANCED VAPE,200 - 200 mg/unit,200 - 200 mg/unit,0.5,ml,17.84,12,214.08, 
,CANNABIS AVAILABLE,32625,826061200094,AUXLY CHARLOTTETOWN INC,KOLAB,VAPE,CARTRIDGE 510,BLACKBERRY CREAM INDICA VAPE,425 - 425 mg/unit,4.25 - 4.25 mg/unit,0.5,ml,22.72,12,272.64, 
,CANNABIS AVAILABLE,32627,826061200100,AUXLY CHARLOTTETOWN INC,KOLAB,VAPE,CARTRIDGE 510,STRAWBERRY ICE SATIVA VAPE,425 - 425 mg/unit,4.25 - 4.25 mg/unit,0.5,ml,22.72,12,272.64, 
,CANNABIS CBD AVAILABLE,32650,826061200506,AUXLY CHARLOTTETOWN INC,KOLAB,VAPE,SINGLE USE W/BATTERY,CBD MINT DISPOSABLE VAPE,10.5 - 10.5 mg/unit,337.5 - 337.5 mg/unit,0.5,ml,20.24,12,242.88, 
,CANNABIS CBD AVAILABLE,32669,629108083144,AURORA CANNABIS ENTERPRISES (VANCOU,AURORA DRIFT,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,CBD PEACH GUMMIES 5X4G,.001 - 4 mg/unit,50 - 50 mg/unit,22,g,6.70,12,80.4, 
,CANNABIS AVAILABLE,32704,826061200681,AUXLY CHARLOTTETOWN INC,FORAY,EDIBLES-CANDY/CHOCOLATE/CONFEC,CHOCOLATE-WHITE,FORAY SALTED CARAMEL 1X10G,10 - 10 mg/unit,10 - 10 mg/unit,10,g,3.01,12,36.12, 
,CANNABIS AVAILABLE,32707,826061200766,AUXLY CHARLOTTETOWN INC,FORAY,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,FORAY RASP VANILLA 2X5G,10 - 10 mg/unit,4 - 4 mg/unit,10,g,3.59,12,43.08, 
,CANNABIS AVAILABLE,32708,826061200773,AUXLY CHARLOTTETOWN INC,FORAY,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,FORAY PEACH MANGO 2X5G,10 - 10 mg/unit,10 - 10 mg/unit,10,g,3.59,12,43.08, 
,CANNABIS AVAILABLE,32748,671148401259,ORGANIGRAM INC,EDISON,DRIED FLOWER,WHOLE BUD/FLOWER,LIMELIGHT,180 - 250 mg/g,.0003 - .7 mg/g,3.5,g,23.46,24,563.04, 
,CANNABIS AVAILABLE,32768,672632000477,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,PRE-ROLLED,WHITE LIGHTNING PR3X0.5G,190 - 260 mg/g,.0007 - .0007 mg/g,1.5,g,13.49,48,647.52, 
,CANNABIS AVAILABLE,32769,672632000491,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,PRE-ROLLED,SENSI WIZARD PR3X0.5G,190 - 260 mg/g,.0007 - .0007 mg/g,1.5,g,13.49,48,647.52, 
,CANNABIS AVAILABLE,32772,672632000460,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,WHITE LIGHTNING,190 - 260 mg/g,.0003 - .0003 mg/g,3.5,g,31.47,24,755.28, 
,CANNABIS AVAILABLE,32773,672632000484,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,SENSI WIZARD,220 - 260 mg/g,.0003 - .0003 mg/g,3.5,g,31.47,24,755.28, 
,CANNABIS AVAILABLE,32812,841432012021,PEACE NATURALS INC,SPINACH,DRIED FLOWER,PRE-ROLLED,SPINACH SENSI STAR PR3X0.5G,180 - 260 mg/g,3.5333 - 10 mg/g,1.5,g,7.46,24,179.04, 
,CANNABIS AVAILABLE,32813,841432010027,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,SPINACH SENSI STAR,180 - 260 mg/g,3.5143 - 10 mg/g,3.5,g,22.38,24,537.12, 
,CANNABIS AVAILABLE,32814,841432010058,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,SPINACH SENSI STAR,180 - 260 mg/g,3.5 - 10 mg/g,7,g,40.92,12,491.04, 
,CANNABIS AVAILABLE,32904,827763001279,THE GREEN ORGANIC DUTCHMAN,TGOD,EDIBLES-BEVERAGES DRIED,MIXES (DRY),RIPPLE DISSOLVABLE THC POWDER,10 - 10 mg/unit,.001 - .001 mg/unit,0.45,g,3.99,24,95.76, 
,CANNABIS AVAILABLE,32963,675136000165,CANNA FARMS LTD,CANNA FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,BC PINK KUSH,190 - 240 mg/g,.0003 - 2 mg/g,3.5,g,26.30,12,315.6, 
,CANNABIS AVAILABLE,32964,675136000127,CANNA FARMS LTD,CANNA FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,BC BLUE DREAM,170 - 210 mg/g,.0003 - 2 mg/g,3.5,g,26.30,12,315.6, 
,CANNABIS AVAILABLE,32965,675136000004,CANNA FARMS LTD,CANNA FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,BC GSC,180 - 250 mg/g,.0003 - 2 mg/g,3.5,g,26.30,12,315.6, 
,CANNABIS AVAILABLE,33195,800447000515,INDIVA INC,BHANG,EDIBLES-CANDY/CHOCOLATE/CONFEC,CHOCOLATE-MILK,BHANG THC MILK CHOCOLATE 1X10G,10 - 10 mg/unit,.001 - .001 mg/unit,10,g,2.75,48,132, 
,CANNABIS CBD AVAILABLE,33197,800447000539,INDIVA INC,BHANG,EDIBLES-CANDY/CHOCOLATE/CONFEC,CHOCOLATE-MILK,BHANG CBD MILK CHOCOLATE 1X10G,.001 - .001 mg/unit,10 - 10 mg/unit,10,g,2.67,48,128.16, 
,CANNABIS AVAILABLE,33199,800447000508,INDIVA INC,BHANG,EDIBLES-CANDY/CHOCOLATE/CONFEC,CHOCOLATE-DARK,BHANG CARAMEL CHOCOLATE 1X10G,10 - 10 mg/unit,10 - 10 mg/unit,10,g,2.75,48,132, 
,CANNABIS AVAILABLE,33310,672632000606,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,CHERRY BURST,210 - 1 mg/g,.001 - .001 mg/g,1,g,8.99,48,431.52, 
,CANNABIS AVAILABLE,33311,672632000613,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,CHERRY BURST,210 - 260 mg/g,.0003 - .0003 mg/g,3.5,g,31.47,24,755.28, 
,CANNABIS AVAILABLE,33312,672632000620,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,PRE-ROLLED,CHERRY BURST PR3X0.5G,190 - 260 mg/g,.0007 - .0007 mg/g,1.5,g,13.49,48,647.52, 
,CANNABIS AVAILABLE,33313,672632000675,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,GAELIC FIRE,230 - 270 mg/g,.001 - .001 mg/g,1,g,8.99,48,431.52, 
,CANNABIS AVAILABLE,33315,672632000682,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,GAELIC FIRE,230 - 270 mg/g,.0003 - .0003 mg/g,3.5,g,31.47,24,755.28, 
,CANNABIS AVAILABLE,33319,695275000468,TANTALUS LABS,TANTALUS LABS,DRIED FLOWER,PRE-ROLLED,PACIFIC OG PR3X0.5G,210 - 263.3333 mg/g,.0007 - 10 mg/g,1.5,g,9.19,24,220.56, 
,CANNABIS AVAILABLE,33541,671148401297,ORGANIGRAM INC,EDISON,DRIED FLOWER,WHOLE BUD/FLOWER,LIMELIGHT,180 - 250 mg/g,.001 - 1.5 mg/g,1,g,6.70,24,160.8, 
,CANNABIS AVAILABLE,34058,695275000444,TANTALUS LABS,TANTALUS LABS,DRIED FLOWER,PRE-ROLLED,BLUE DREAM PR3X0.5G,130 - 190 mg/g,.0007 - 10 mg/g,1.5,g,8.86,24,212.64, 
,CANNABIS AVAILABLE,34070,827912000580,7ACRES,7ACRES,DRIED FLOWER,PRE-ROLLED,JACK HAZE PR2X0.5G,170 - 230 mg/g,.001 - 1 mg/g,1,g,8.72,24,209.28, 
,CANNABIS AVAILABLE,34071,827912000566,7ACRES,7ACRES,DRIED FLOWER,PRE-ROLLED,SENSI STAR PR2X0.5G,180 - 250 mg/g,.001 - 1 mg/g,1,g,8.72,24,209.28, 
