SKU,Product_Name,Brand_Name,BC_INDIGENOUS_PRODUCT,SubCategory,Class,Origin_Country,Origin_Region,Origin_SubRegion,SU_Qty_In_Each_Case,SU_CODE,SU_CODE_TYPE,CASE_CODE,CASE_CODE_TYPE,SU_product_net_size,SU_product_net_size_uom,SU_volume_equivalency,SU_volume_equivalency_UOM,CASE_WEIGHT,CASE_WEIGHT_UOM,Strain,Species,PER_ACTIVATION_CBD_MAX,PER_ACTIVATION_CBD_MIN,PER_ACTIVATION_CBD_UOM,PER_ACTIVATION_THC_MAX,PER_ACTIVATION_THC_MIN,PER_ACTIVATION_THC_UOM,PER_DISCRETE_UNIT_CBD_MAX,PER_DISCRETE_UNIT_CBD_MIN,PER_DISCRETE_UNIT_CBD_UOM,PER_DISCRETE_UNIT_THC_MAX,PER_DISCRETE_UNIT_THC_MIN,PER_DISCRETE_UNIT_THC_UOM,PER_RETAIL_UNIT_CBD_MAX,PER_RETAIL_UNIT_CBD_MIN,PER_RETAIL_UNIT_CBD_UOM,PER_RETAIL_UNIT_THC_MAX,PER_RETAIL_UNIT_THC_MIN,PER_RETAIL_UNIT_THC_UOM,Extraction_Process,Packaging_Material,Consumption_Method,Harvesting_Method,Growing_Method,Terpene_1_Type,Terpene_2_Type,Terpene_3_Type,Number_of_consumer_items,Consumer_item_size,Consumer_item_size_uom,Ecomm_Short_Description,Ecomm_Long_Description
1000116,ICE C.C.,QWEST RESERVE,N,Flower,Indica,Canada,British Columbia,Creston,48,00628242900102,GTIN,10628242900109,GTIN,1,GRAM,1,GRAM,3236,GRAM,ICE C.C.,INDICA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,INHALE,HAND,INDOOR,LIMONENE,CARYOPHYLLENE,BETA_CARYOPHYLLENE,1,1,GRAM,Fruity aroma and a smooth creamy flavour.,"Ice Qwest (a Wedding Cake and Gelato cross) is a sweet, indica-dominant strain. Qwest cannabis is small-batch grown, hand-trimmed, and top cut to attain the densest and most robust flower."
1000124,ICE C.C.,QWEST RESERVE,N,Flower,Indica,Canada,British Columbia,Creston,48,00628242900362,GTIN,10628242900369,GTIN,3.5,GRAM,3.5,GRAM,3580,GRAM,ICE C.C.,INDICA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,,,INDOOR,LIMONENE,CARYOPHYLLENE,BETA_CARYOPHYLLENE,1,3.5,GRAM,Fruity aroma and a smooth creamy flavour.,"Ice Qwest (a Wedding Cake and Gelato cross) is a sweet and fruity indica-dominant strain. Qwest cannabis is small-batch grown, hand-trimmed, and top cut to attain the densest and most robust flower."
1000132,SENSI STAR,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,12,00627560010302,GTIN,20627560010306,GTIN,1,GRAM,1,GRAM,480,GRAM,SENSI STAR,INDICA,,,,,,,,,,,,,10,0,mg/g,190,140,mg/g,,PLASTIC,,,INDOOR,LIMONENE,MYRCENE,,1,1,GRAM,"Sweet, citrusy high-THC indica that is blanketed in crystalline trichomes.",Sensi Star stands out with crystalline trichomes on its dark green buds. This Afghani indica has subtle earthy base notes with sweet but pungent head notes. Sensi Star is grown indoors and hand-trimmed.
1000140,SENSI STAR,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,12,00627560010319,GTIN,20627560010313,GTIN,3.5,GRAM,3.5,GRAM,480,GRAM,SENSI STAR,INDICA,,,,,,,,,,,,,10,0,mg/g,190,140,mg/g,,PLASTIC,,,INDOOR,LIMONENE,MYRCENE,,1,3.5,GRAM,"Sweet, citrusy high-THC indica that is blanketed in crystalline trichomes.",Sensi Star stands out with crystalline trichomes on its dark green buds. This Afghani indica has subtle earthy base notes with sweet but pungent head notes. Sensi Star is grown indoors and hand-trimmed.
1000157,SENSI STAR,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,12,00627560010333,GTIN,20627560010337,GTIN,7,GRAM,7,GRAM,980,GRAM,SENSI STAR,INDICA,,,,,,,,,,,,,10,0,mg/g,190,140,mg/g,,PAPER,INHALE,HAND,INDOOR,LIMONENE,MYRCENE,,1,7,GRAM,"Sweet, citrusy high-THC indica that is blanketed in crystalline trichomes.",Sensi Star stands out with crystalline trichomes on its dark green buds. This Afghani indica has subtle earthy base notes with sweet but pungent head notes. Sensi Star is grown indoors and hand-trimmed.
1000165,DURGA MATA 2,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,24,00627560010609,GTIN,30627560010600,GTIN,1,GRAM,1,GRAM,1160,GRAM,DURGA MATA 2,INDICA,,,,,,,,,,,,,130,80,mg/g,80,40,mg/g,,PAPER,,,INDOOR,TERPINOLENE,MYRCENE,LIMONENE,1,1,GRAM,"Earthy and sweet flavours from highly resinous, dense flowers.","Derived from the resinous flower of Durga Mata, this strain producesrobust flower clusters at the end of its growing period. Subtle aromas of exotic fruits and citrus, rounded off with an earthy flavour in a THC:CBD blend."
1000173,DURGA MATA 2,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,12,00627560010616,GTIN,20627560010610,GTIN,3.5,GRAM,3.5,GRAM,480,GRAM,DURGA MATA 2,INDICA,,,,,,,,,,,,,120,70,mg/g,90,40,mg/g,,PAPER,,,INDOOR,TERPINOLENE,MYRCENE,LIMONENE,1,3.5,GRAM,"Earthy and sweet flavours from highly resinous, dense flowers.","Derived from the resinous flower of Durga Mata, this strain producesrobust flower clusters at the end of its growing period. Subtle aromas of exotic fruits and citrus, rounded off with an earthy flavour in a THC:CBD blend."
1000181,DURGA MATA 2,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,12,00627560010630,GTIN,20627560010634,GTIN,7,GRAM,7,GRAM,740,GRAM,DURGA MATA 2,INDICA,,,,,,,,,,,,,120,70,mg/g,90,40,mg/g,,PAPER,,,INDOOR,MYRCENE,,,1,7,GRAM,"Earthy and sweet flavours from highly resinous, dense flowers.","Derived from the resinous flower of Durga Mata, this strain producesrobust flower clusters at the end of its growing period. Subtle aromas of exotic fruits and citrus, rounded off with an earthy flavour in a THC:CBD blend."
1000199,MK ULTRA,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,24,00627560010708,GTIN,30627560010709,GTIN,1,GRAM,1,GRAM,840,GRAM,MK ULTRA,INDICA,,,,,,,,,,,,,10,0,mg/g,210,160,mg/g,,PAPER,,,INDOOR,TERPINOLENE,MYRCENE,LIMONENE,1,1,GRAM,"Dense, sticky, almost-white, compact flowers that are earthy and pungent.","MK Ultra is a high-THC indica blend that is hybrid of OG Kush and G13. Grown indoors, MK Ultra is a short plant that produces dense flowers that are so resinous and sticky they appear crystalline. This plant has a pungent odour that can be characterized as a mixture of pine, earth and diesel. MK Ultra is one of the heaviest indica strains in the world."
1000207,MK ULTRA,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,12,00627560010715,GTIN,20627560010719,GTIN,3.5,GRAM,3.5,GRAM,480,GRAM,MK ULTRA,INDICA,,,,,,,,,,,,,10,0,mg/g,210,160,mg/g,,PAPER,,,INDOOR,TERPINEOL,MYRCENE,LIMONENE,1,3.5,GRAM,"Dense, sticky, almost-white, compact flowers that are earthy and pungent.","MK Ultra is a high-THC indica blend that is hybrid of OG Kush and G13. Grown indoors, MK Ultra is a short plant that produces dense flowers that are so resinous and sticky they appear crystalline. This plant has a pungent odour that can be characterized as a mixture of pine, earth and diesel. MK Ultra is one of the heaviest indica strains in the world."
1000215,MK ULTRA,Namaste,N,Flower,Indica,Canada,British Columbia,Delta,12,00627560010739,GTIN,20627560010733,GTIN,7,GRAM,7,GRAM,740,GRAM,MK ULTRA,INDICA,,,,,,,,,,,,,,,,,,,,PAPER,INHALE,HAND,INDOOR,MYRCENE,,,1,7,GRAM,"Dense, sticky, almost-white, compact flowers that are earthy and pungent.","MK Ultra is a high-THC indica blend that is hybrid of OG Kush and G13. Grown indoors, MK Ultra is a short plant that produces dense flowers that are so resinous and sticky they appear crystalline. This plant has a pungent odour that can be characterized as a mixture of pine, earth and diesel. MK Ultra is one of the heaviest indica strains in the world."
1000223,0:1 OIL,Namaste,N,Ingestible Extracts,Oils and Tinctures,Canada,British Columbia,Delta,24,00627560020202,GTIN,30627560020203,GTIN,25,MILLILITER,7.5,GRAM,1.812,KILOGRAM,DAYTIME CBD,SATIVA,,,,,,,,,,,,,,,,,,,CO2,PLASTIC,,,INDOOR,,,,1,25,MILLILITER,A high-CBD oil.,"Namaste 0:1 THC:CBD is a high-CBD oil that provides users with 30 mg of CBD per mL. Diluted in MCT oil, it is clear and flavorless, and easily absorbed into the body. Namaste 0:1 THC:CBD oil is made from high-CBD cannabis, and is packaged for ease of use."
1000231,SENSI STAR PRE-ROLL,Namaste,N,Pre-roll,Indica,Canada,New Brunswick,Atholville,48,399,GTIN,30627560080399,GTIN,0.5,GRAM,0.5,GRAM,1.464,KILOGRAM,SENSI STAR,INDICA,,,,,,,,,,,,,,,,,,,,FIBRE_PAPERBOARD,,,INDOOR,TERPINOLENE,CARYOPHYLLENE,,1,0.5,GRAM,Earthy notes and tropical citrus flavours.,Sensi Star stands out with crystalline trichomes on its dark green buds. This Afghani indica has subtle earthy base notes with sweet but pungent head notes. Sensi Star is grown indoors and hand-trimmed.
1000249,SENSI STAR PRE-ROLL,Namaste,N,Pre-roll,Indica,Canada,New Brunswick,Atholville,48,00627560080305,GTIN,40627560080303,GTIN,1.5,GRAM,1.5,GRAM,1320,GRAM,SENSI STAR,INDICA,,,,,,,,,,,,,10,0,mg/g,160,120,mg/g,,FIBRE_PAPERBOARD,,,INDOOR,TERPINOLENE,CARYOPHYLLENE,PINENE,3,0.5,GRAM,Earthy notes and tropical citrus flavours.,Sensi Star stands out with crystalline trichomes on its dark green buds.  This Afghani indica has subtle earthy base notes with sweet but pungent head notes. Sensi Star is grown indoors and hand-trimmed.
1000256,SENSI STAR PRE-ROLL,Namaste,N,Pre-roll,Indica,Canada,New Brunswick,Atholville,48,00627560080398,GTIN,20627560080316,GTIN,2.5,GRAM,2.5,GRAM,1560,GRAM,SENSI STAR,INDICA,,,,,,,,,,,,,,,,,,,,PAPER,INHALE,HAND,INDOOR,MYRCENE,,,5,0.5,GRAM,Earthy notes and tropical citrus flavours.,Sensi Star stands out with crystalline trichomes on its dark green buds. This Afghani indica has subtle earthy base notes with sweet but pungent head notes. Sensi Star is grown indoors and hand-trimmed.
1000264,MK ULTRA PRE-ROLL,Namaste,N,Pre-roll,Indica,Canada,British Columbia,Delta,48,00627560080701,GTIN,40627560080709,GTIN,1.5,GRAM,1.5,GRAM,900,GRAM,MK ULTRA,INDICA,,,,,,,,,,,,,10,0,mg/g,180,140,mg/g,,PAPER,,,INDOOR,MYRCENE,,,3,0.5,GRAM,"Dense, sticky, almost-white, compact flowers that are earthy and pungent.","MK Ultra is a high-THC indica blend that is hybrid of OG Kush and G13. Grown indoors, MK Ultra is a short plant that produces dense flowers that are so resinous and sticky they appear crystalline. This plant has a pungent odour that can be characterized as a mixture of pine, earth and diesel. MK Ultra is one of the heaviest indica strains in the world."
1000272,MK ULTRA PRE-ROLL,Namaste,N,Pre-roll,Indica,Canada,British Columbia,Delta,48,00627560080794,GTIN,30627560080795,GTIN,0.5,GRAM,0.5,GRAM,1.464,KILOGRAM,MK ULTRA,INDICA,,,,,,,,,,,,,,,,,,,,PAPER,INHALE,HAND,INDOOR,MYRCENE,,,1,0.5,GRAM,"Dense, sticky, almost-white, compact flowers that are earthy and pungent.","MK Ultra is a high-THC indica blend that is hybrid of OG Kush and G13. Grown indoors, MK Ultra is a short plant that produces dense flowers that are so resinous and sticky they appear crystalline. This plant has a pungent odour that can be characterized as a mixture of pine, earth and diesel. MK Ultra is one of the heaviest indica strains in the world."
1000280,MK ULTRA PRE-ROLL,Namaste,N,Pre-roll,Indica,Canada,British Columbia,Delta,48,00627560080718,GTIN,20627560080712,GTIN,2.5,GRAM,2.5,GRAM,1560,GRAM,MK ULTRA,INDICA,,,,,,,,,,,,,,,,,,,,PAPER,INHALE,HAND,INDOOR,MYRCENE,,,5,0.5,GRAM,"Dense, sticky, almost-white, compact flowers that are earthy and pungent.","MK Ultra is a high-THC indica blend that is hybrid of OG Kush and G13. Grown indoors, MK Ultra is a short plant that produces dense flowers that are so resinous and sticky they appear crystalline. This plant has a pungent odour that can be characterized as a mixture of pine, earth and diesel. MK Ultra is one of the heaviest indica strains in the world."
1000298,SHISHKABERRY,Seven Oaks,N,Flower,Indica,Canada,Ontario,Hamilton,48,00628250706000,GTIN,20628250706004,GTIN,1,GRAM,1,GRAM,546.48,GRAM,SHISHKABERRY,INDICA,,,,,,,,,,,,,,,,,,,,PLASTIC,,,INDOOR,CARYOPHYLLENE,,,1,1,GRAM,Dark green dried flowers with tinges of purple and a sweet berry aroma.,"This indica-dominant hybrid strain has moderate levels of THC that range from 10%-16% and CBD levels of 0-1%. Dark green dried flowers feature tinges of purple and a sweet berry aroma; this aptly named strain is bred from two popular indica strains, DJ Short Blueberry and an Afghani relative."
1000306,SHISHKABERRY,Seven Oaks,N,Flower,Indica,Canada,Ontario,Hamilton,48,00628250706109,GTIN,20628250706103,GTIN,3.5,GRAM,3.5,GRAM,1060,GRAM,SHISHKABERRY,INDICA,,,,,,,,,,,,,,,,,,,,PLASTIC,,,INDOOR,CARYOPHYLLENE,,,1,3.5,GRAM,Dark green dried flowers with tinges of purple and a sweet berry aroma.,"This indica-dominant hybrid strain has moderate levels of THC that range from 10%-16% and CBD levels of 0-1%. Dark green dried flowers feature tinges of purple and a sweet berry aroma - this aptly named strain is bred from two popular indica strains, DJ Short Blueberry and an Afghani relative."
1000314,ULTRA SOUR,Seven Oaks,N,Flower,Indica,Canada,Ontario,Hamilton,48,00628250706024,GTIN,20628250706028,GTIN,1,GRAM,1,GRAM,660,GRAM,ULTRA SOUR,INDICA,,,,,,,,,,,,,,,,,,,,PLASTIC,,,INDOOR,LIMONENE,,,1,1,GRAM,Deep green flowers with rusty orange hairs and a tart lemon-diesel flavour.,"Ultra Sour has a tart lemon-diesel flavour and its aroma is a combination of pine and diesel. It has a potent THC level. Ultra Sour is an indica-dominant hybrid strain that was created by THSeeds, which is one of Amsterdams most innovative cannabis seedbanks. The strains lineage is attributed to a cross between the MK Ultra and East Coast Sour Diesel strains. Its buds are deep green with bright rusty orange fiery orange hairs and a coating of dusty amber colored crystal trichomes."
1000322,ULTRA SOUR,Seven Oaks,N,Flower,Indica,Canada,Ontario,Hamilton,48,00628250706123,GTIN,20628250706127,GTIN,3.5,GRAM,3.5,GRAM,1060,GRAM,ULTRA SOUR,INDICA,,,,,,,,,,,,,,,,,,,,PLASTIC,,,INDOOR,LIMONENE,,,1,3.5,GRAM,Deep green flowers with rusty orange hairs and a tart lemon-diesel flavour.,"Ultra Sour has a tart lemon-diesel flavour and its aroma is a combination of pine and diesel. It has a potent THC level. Ultra Sour is an indica-dominant hybrid strain that was created by THSeeds, which is one of Amsterdams most innovative cannabis seedbanks. The strains lineage is attributed to a cross between the MK Ultra and East Coast Sour Diesel strains. Its buds are deep green with bright rusty orange fiery orange hairs and a coating of dusty amber colored crystal trichomes."
1000330,COLD CREEK KUSH,Seven Oaks,N,Flower,Indica,Canada,Ontario,Hamilton,48,00628250706116,GTIN,20628250706240,GTIN,3.5,GRAM,3.5,GRAM,1060,GRAM,COLD CREEK KUSH,INDICA,,,,,,,,,,,,,,,,,,,,PLASTIC,,,INDOOR,MYRCENE,,,1,3.5,GRAM,High-THC strain with an earthy aroma and hints of pine and citrus.,"Cold Creek Kush is an indica-dominant hybrid strain with THC levels ranging from 13% to 20% and CBD levels of 0-1%. Its appearance, both light and dark green, comes as a result of its parent strains, the indica-dominant MK Ultra and the sativa-dominant hybrid Chemdawg 91. This high-THC strain has an earthy aroma with hints of pine and citrus."
1000348,COLD CREEK KUSH,Seven Oaks,N,Flower,Indica,Canada,Ontario,Hamilton,48,00628250706239,GTIN,20628250706110,GTIN,1,GRAM,1,GRAM,640,GRAM,COLD CREEK KUSH,INDICA,,,,,,,,,,,,,,,,,,,,PLASTIC,,,INDOOR,MYRCENE,,,1,1,GRAM,High-THC strain with an earthy aroma and hints of pine and citrus.,"Cold Creek Kush is an indica-dominant hybrid strain with THC levels ranging from 13% to 20% and CBD levels of 0-1%. Its appearance, both light and dark green, comes as a result of its parent strains, the indica-dominant MK Ultra and the sativa-dominant hybrid Chemdawg 91. This high-THC strain has an earthy aroma with hints of pine and citrus."
1000355,1:1 OIL,Liiv,N,Ingestible Extracts,Oils and Tinctures,Canada,Ontario,Vaughan,24,00841464000539,GTIN,20841464000533,GTIN,20,MILLILITER,5,GRAM,1320,GRAM,OTHER,HYBRID,,,,,,,,,,,,,,,,,,,CO2,POLYETHYLENE_TEREP,,,HYBRID_GREENHOUSE,MYRCENE,CARYOPHYLLENE,,1,20,MILLILITER,Balanced 1:1 oil.,Hybrid 1:1. Diluted into a palm-derived MCT base. This oil comes with a separate syringe-style dropper.
1000363,BALI KUSH,Liiv,N,Flower,Indica,Canada,Ontario,Vaughan,24,00841464000058,GTIN,20841464000052,GTIN,1,GRAM,1,GRAM,598,GRAM,ROYAL PURPLE KUSH,INDICA,,,,,,,,,,,,,,,,,,,,POLYETHYLENE_TEREP,,,HYBRID_GREENHOUSE,MYRCENE,CARYOPHYLLENE,HUMULENE,1,1,GRAM,"Musky, sweet flower with an earthy aroma.","Indica-dominant hybrid that houses a dense, olive coloured bud with dark orange pistils. Gives off an earthy, citrus aroma with hints of hops and clove. A Black Afghani and Bubba Kush cross."
1000371,BALI KUSH,Liiv,N,Flower,Indica,Canada,Ontario,Vaughan,18,00841464000157,GTIN,20841464000151,GTIN,3.5,GRAM,3.5,GRAM,1020,GRAM,ROYAL PURPLE KUSH,INDICA,,,,,,,,,,,,,20,0,mg/g,220,160,mg/g,,POLYETHYLENE_TEREP,,,HYBRID_GREENHOUSE,MYRCENE,BISABOLOL,BETA_CARYOPHYLLENE,1,3.5,GRAM,"Musky, sweet flower with an earthy aroma.","Indica-dominant hybrid that houses a dense, olive coloured bud with dark orange pistils. Gives off an earthy, citrus aroma with hints of hops and clove. A Black Afghani and Bubba Kush cross."
1000389,BALI KUSH PRE-ROLL,Liiv,N,Pre-roll,Indica,Canada,Ontario,Vaughan,36,00841464000300,GTIN,20841464000304,GTIN,1,GRAM,1,GRAM,760,GRAM,ROYAL PURPLE KUSH,INDICA,,,,,,,,,,,,,,,,,,,,POLYETHYLENE_TEREP,,,HYBRID_GREENHOUSE,MYRCENE,CARYOPHYLLENE,BISABOLOL,1,1,GRAM,"Musky, sweet flower with an earthy aroma.","Indica-dominant hybrid that houses a dense, olive coloured bud with dark orange pistils. Gives off an earthy, citrus aroma with hints of hops and clove. A Black Afghani and Bubba Kush cross."
1000397,BALI KUSH PRE-ROLL,Liiv,N,Pre-roll,Indica,Canada,Ontario,Vaughan,24,00841464000423,GTIN,20841464000427,GTIN,2.5,GRAM,2.5,GRAM,0.028,KILOGRAM,ROYAL PURPLE KUSH,INDICA,,,,,,,,,,,,,,,,,,,,POLYETHYLENE_TEREP,,,HYBRID_GREENHOUSE,MYRCENE,CARYOPHYLLENE,,5,0.5,GRAM,"Musky, sweet flower with an earthy aroma.","Indica-dominant hybrid that houses a dense, olive coloured bud with dark orange pistils. Gives off an earthy, citrus aroma with hints of hops and clove. A Black Afghani and Bubba Kush cross."
